,id,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11
0,3772,3108,3108,3108,3108,4063,4063,4063,4063,4063,4063,4063,4063,4063,4063,4063,4063,4063,4063,4252,4252,5253,5792,5792,5792,5937,5937,5937,5937,5937
1,3656,3581,3581,3581,3949,3949,3949,3949,4312,4739,4739,4739,4739,4739,4739,4739,4739,4739,4739,4739,4739,4739,4739,4739,4739,4940,4940,4940,4940,5116
2,3577,1429,1429,1429,1429,1842,1842,1842,1842,1842,1842,1842,1842,1842,1842,1842,1842,2022,2022,2022,2022,2022,2206,2206,2206,2350,2350,2350,2350,2821
3,3535,9519,9519,9519,9519,9519,9519,9519,9519,9519,9519,9519,9519,9519,9519,9519,9519,9519,9519,9519,9519,9519,9519,9519,9519,9519,9519,9519,9519,9519
4,3760,10019,10019,10019,10019,10019,10301,10301,10301,10301,10301,10301,10301,10301,10301,10301,10301,10301,10301,10301,10301,10301,10301,10301,10301,10301,10301,10301,10301,10301
5,3777,1092,1092,1092,1247,1247,5212,5212,5392,7765,7765,7765,7765,7765,7765,8557,8557,8557,8557,8557,8557,8557,8557,8557,8557,10090,11708,11708,14401,14401
6,3542,10437,10437,10437,11155,11155,11155,11155,11155,11275,11275,11275,11275,11275,11275,11275,11275,11275,11275,11275,11275,11674,11674,11674,12400,12400,12400,12400,12400,12769
7,3791,14115,14115,14115,14115,14115,14579,14579,14579,14762,15115,15115,15115,15115,15115,15115,15115,15115,15115,15115,15115,15115,15115,15115,15244,15244,15244,15244,15244,15244
8,3672,5632,5632,5632,5632,12812,12812,15341,15341,15341,15341,15341,15341,15341,15341,15341,15461,15461,15461,15461,15461,15461,15461,15461,15461,15461,16035,16035,16035,16035
9,3707,13696,13696,13696,13696,13696,13696,13696,13696,13696,13696,13696,13696,13696,13696,13696,13696,13696,13696,13696,13696,13696,13696,13696,13696,14420,14420,14420,14420,15633
10,3688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3547,4230,4230,4230,4230,4230,5055,5055,5055,7446,7446,7446,7446,7446,7446,7446,7446,7446,10685,10685,10870,10870,10870,10870,10870,10870,10870,10870,10870,11010
12,3623,1408,1408,1408,1408,1408,1408,1408,1408,1408,1408,1408,1408,1408,1408,1408,1408,1408,1408,1408,1408,1591,1591,1591,1591,2069,2069,2069,2069,2069
13,3699,10952,10952,10952,11142,11142,12264,12264,12264,12446,12446,12446,12579,12579,12579,12579,12579,12579,12579,12579,12579,14016,14016,14016,14734,15222,15222,15222,15222,15508
14,3654,5268,5268,5268,5268,5388,5388,5388,5388,5388,5388,5388,5388,5388,5388,5388,5388,5388,5388,5388,5388,5388,5388,5388,5388,5388,5388,5388,5388,5388
15,3819,3794,3794,3794,3794,3984,4168,4168,4168,4168,4168,4168,4168,4168,4168,4168,4168,4168,4296,4296,4296,5015,5015,5015,5015,5015,5015,5015,5015,5167
16,3663,1001,1001,1001,1001,1001,1334,1334,1458,1458,1458,1458,1458,1458,1458,1458,1458,1458,1458,1458,1458,1458,1458,1458,1458,1458,1458,1587,1587,2574
17,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,3564,4608,4608,4608,5471,5471,6010,6010,6010,6010,6010,6010,6010,6010,6376,6376,6376,6376,6376,6376,6376,6376,6376,6376,6376,6576,6576,6576,6576,6576
19,3681,883,883,883,883,1469,1469,1469,1469,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,3060,3060,3060,3060,3060,3060
20,3801,3819,3819,3819,4377,4377,4500,4500,4500,4500,4500,4500,6834,6834,6834,6834,7748,7748,8827,8827,8827,9852,9852,10162,10162,10162,10162,10547,10547,10547
21,3560,4123,4123,4123,4123,4123,4123,4123,4123,4123,4123,4123,4123,4123,4123,4123,4123,4123,4123,4123,4123,4123,4123,4123,4123,4123,4123,4123,4123,4123
22,4865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,3769,15146,15146,15146,15463,15463,15463,15463,15463,15463,15463,15463,15463,15463,15463,15463,15463,15463,15463,15645,16231,16231,16231,16231,16231,16468,16468,16468,16468,16468
24,3826,12293,12293,12293,12293,12777,12777,12777,12777,12777,12777,12777,12777,12777,12777,12777,12777,12777,12956,12956,12956,13139,13139,13139,13327,13327,13327,13327,13613,13613
25,3812,4806,4806,4806,4806,4806,5071,5071,5071,5071,5071,5071,5071,5458,5458,5458,5458,5458,5458,5458,5458,5458,5458,5458,5640,5640,5640,5640,5640,5973
26,3831,3084,3084,3084,3084,3084,3084,3084,3084,3084,3084,3084,3084,3084,3084,3084,3084,3084,3084,3084,3084,3084,3084,3084,3481,3481,3481,3481,3481,3481
27,3556,19032,19032,19032,19032,19032,19032,19032,19032,21730,21730,21730,21730,23591,23591,23591,23591,23591,25045,25045,25045,25045,28233,28233,28233,30148,30148,30148,30328,30328
28,3570,15874,15874,15874,15874,15874,15874,15874,15874,15874,15874,16204,16204,16204,16204,16204,16204,16204,16204,16204,16204,16563,16563,16563,16801,16801,18243,18243,18243,19552
29,3528,699,699,699,699,699,699,699,699,699,699,699,884,884,884,1496,1496,2195,2568,2568,2568,2720,2720,2720,2720,3389,3389,3389,3389,3389
30,386,2282,2282,2282,2282,2282,2282,2282,2282,2282,2282,2282,2282,2282,2282,2282,2282,2282,2282,2282,2282,2282,2282,2282,2282,2282,2282,2282,2419,2633
31,3637,2955,2955,2955,2955,2955,2955,2955,2955,3384,3384,3384,3384,3384,3384,3384,3384,3384,3384,3941,3941,3941,3941,3941,3941,3941,3941,4855,4855,4855
32,3783,2651,2651,2651,2651,2651,2651,2651,2651,3495,3495,3495,3495,3495,3495,3495,3495,3495,4039,4411,4411,4411,4411,4411,4411,4411,4411,4411,4411,4411
33,2266,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363
34,3785,11064,11064,11064,11064,11064,11578,11578,11578,11578,11578,11578,11578,11578,11578,11578,11578,11578,11764,11764,11764,11764,11764,12123,12493,12946,12946,12946,13436,13436
35,3553,6070,6070,6070,6070,6070,9349,9349,9349,9349,9349,9349,9349,9349,9349,9349,9349,9349,9349,9349,9349,9349,10788,17070,17070,17070,17070,17070,17310,17310
36,3659,36003,36201,36201,36201,39669,39669,39669,39669,39669,39669,39669,39669,39669,39669,39669,39669,39669,41594,42148,42148,42148,42148,42148,42148,42148,42148,42148,42148,42148
37,3587,5040,5040,5040,5040,5379,5379,5379,5379,5837,5837,5837,5837,5837,5837,5837,5837,5837,5837,5837,5837,5837,5837,5837,5961,5961,5961,5961,5961,5961
38,3780,7007,7007,7007,7007,7007,7007,7007,7007,7600,7600,7600,7600,7600,7600,7600,7600,8159,8159,8159,8159,8159,8159,8159,8159,8159,8159,8159,10464,10464
39,3702,70335,70335,70335,70335,70335,70335,70335,70335,70335,70335,70335,70335,75361,75361,75361,75361,75361,77100,77100,77100,77100,77100,77100,77100,77100,77100,81057,84331,84331
40,3804,6252,6252,6252,6252,6252,6252,6252,6252,6252,6252,6252,6252,7839,7839,7839,7839,7839,7839,7839,7839,7839,7839,7839,7839,9052,9052,9052,9052,9052
41,3774,4470,4592,4592,4592,4592,6239,6824,6824,8798,14722,14722,14722,14722,14722,14722,14722,14722,14722,14722,14722,14722,14722,14722,14722,15622,15622,15751,15751,15751
42,3750,6180,6180,6180,6180,6180,7035,7035,7035,7496,7496,7496,7496,7496,7496,7496,7496,7496,7496,7496,7496,8225,8225,8225,8225,8580,8948,8948,9309,9309
43,2983,7595,7595,7595,7595,7595,9032,9032,9032,9032,9032,9032,9032,9032,9032,9032,9032,9272,9272,9272,9272,9272,9272,9272,9272,9272,9272,9272,9272,9272
44,3555,27992,27992,27992,33648,33648,33777,38267,38267,38267,38986,38986,39207,39207,39602,39602,40596,40596,40793,40793,41294,41294,41294,41294,41294,44736,44736,44736,44736,44736
45,3678,9740,9740,9740,9740,9932,10095,10095,10095,11054,11054,11054,11054,11054,11054,11054,11054,11054,11545,11970,11970,11970,11970,11970,12334,12334,12334,12334,12740,12740
46,3775,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,734,734,734,734,1991
47,4646,3763,3763,3763,3763,3763,3763,3763,3763,4126,4126,4126,4126,4126,4126,4126,4126,4126,4126,4126,4488,5170,5170,5170,5170,5170,5170,5170,5170,5400
48,3787,4638,4638,5166,5166,5166,5166,5166,5166,5542,5542,5542,5542,5542,6753,8916,9635,9635,9635,10471,10471,10653,10653,10653,10847,11191,11191,11191,12080,12080
49,3590,49695,49695,49695,49695,50194,50194,50194,50194,50194,50194,50194,50194,50194,50194,50194,51272,51272,51272,51272,51272,51272,51272,52065,52065,52980,52980,53476,53476,53476
50,3571,48687,48687,48687,48687,48687,49302,49840,50378,50378,51026,51026,51205,51469,51469,51469,51469,51469,51469,51469,51469,52746,52746,52746,52746,52892,52892,52892,52892,53158
51,2399,0,0,0,0,0,0,0,0,0,0,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359
52,4425,7836,7836,7836,12029,12029,12541,12541,12541,12541,12678,12678,12678,12678,12678,12678,12678,12678,12858,12858,12858,13159,13159,13159,13159,13159,13159,13159,13159,13867
53,3537,42798,43683,43683,45056,45056,45056,45056,46382,46382,46382,46382,46382,46747,46747,46747,46747,46956,46956,46956,46956,46956,46956,46956,46956,46956,46956,49121,56312,56312
54,4276,5690,5690,5690,5872,5872,6824,6824,7983,7983,7983,7983,7983,7983,7983,7983,7983,7983,7983,7983,7983,7983,7983,7983,7983,8169,8169,8169,8169,8169
55,4389,33265,33265,33265,33265,33265,33265,33265,33655,33655,33655,33655,33655,33655,33655,33655,33655,33655,33655,33655,33655,34028,34028,34028,34028,34028,34028,34028,34772,34772
56,4265,10855,10855,10855,11323,11323,11323,11323,11323,15095,15095,15095,15095,16533,16533,16533,16533,16533,16533,16533,16533,16533,16533,16533,16533,20593,20593,20593,21314,22098
57,4305,10978,10978,10978,11168,11168,11168,11168,11168,11854,11854,11854,11854,11854,11854,11854,11854,11854,11854,11854,13295,13295,13295,13295,13654,13654,13654,13654,13654,13654
58,4331,10747,10747,10747,10747,10747,10747,10747,10747,10747,10747,10747,10747,10747,10747,10747,11661,11661,13313,13692,16347,16796,16796,16796,16796,16796,17075,17075,17858,17858
59,4302,10558,10558,10558,10558,11635,11958,11958,11958,11958,11958,11958,11958,12453,12453,12453,12992,12992,13112,13112,13296,14996,14996,14996,14996,14996,15378,15589,15589,15589
60,3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,3616,1369,1369,1685,1685,1685,1685,1685,1685,1685,1970,1970,1970,1970,1970,1970,1970,1970,1970,1970,2418,2418,2418,2418,2418,3478,3478,3478,3478,3907
62,4374,2441,2441,2441,2909,2909,3392,3392,3392,3392,3392,4008,4008,4008,4008,4008,4008,4008,4008,4008,4547,4754,4754,4754,12119,12119,12119,12119,12119,12119
63,4271,32393,32393,32393,32393,33360,35155,35155,35155,35277,35277,35277,35277,35622,35622,35622,35622,36319,36319,36499,36499,36499,36499,36499,36499,36499,36499,36499,36499,36499
64,6113,24778,24778,24778,26122,26122,26122,26122,26397,26397,26397,26397,26397,27483,27483,28735,28735,28735,28950,28950,28950,29516,29516,29516,29516,29925,29925,29925,31679,31679
65,3797,17546,17546,17546,18121,18121,18491,18491,18853,23166,23166,23166,23166,23166,23166,23166,23166,23166,25859,25859,25859,25859,25859,25859,25859,26451,26451,26645,26645,26645
66,4416,18487,18487,18487,18487,22519,22710,22710,22710,22710,22710,22710,22710,22710,22710,22710,22710,22710,23280,24167,24167,24167,24167,24167,24167,24491,24491,24491,24491,24640
67,4460,884,884,884,884,884,884,884,884,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1204,1204,1204,1204,1204,1204,1204,1204,1204,1976
68,4490,15158,15158,15158,15158,15876,19831,19831,19831,19831,19831,19831,19831,19831,20190,20190,24319,24319,26816,26816,26816,26816,26816,26816,26816,26816,26816,27896,28911,30361
69,5407,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182
70,4308,22362,22987,22987,22987,22987,22987,22987,22987,23678,23678,23678,23678,23678,23678,23678,23678,23678,23678,23678,25844,25844,25844,25844,25844,26114,26114,26114,26114,26114
71,6239,8675,8675,8675,12338,12338,12338,12338,12338,13934,13934,13934,13934,13934,13934,13934,13934,17790,17790,22517,49697,49984,52346,52346,53341,53341,53341,53341,53711,53711
72,4496,10431,10431,10431,10614,10614,10806,10806,10806,10977,10977,10977,10977,11186,11186,11186,11186,11186,11186,11186,11186,11186,11186,11186,11186,11373,11373,11373,11373,11373
73,4482,5610,5731,5731,5731,5731,5731,5731,5731,5731,5731,5731,5731,5731,5731,5731,5731,5731,5731,5916,5916,6483,6483,6483,6483,6764,6764,6764,6764,6764
74,4488,15026,15026,15026,15214,15214,15214,15214,15214,15341,15341,15341,15341,15341,15341,15341,15341,15341,16092,16092,16606,16606,18373,18373,18373,18863,18863,18863,18863,19062
75,4491,50964,50964,50964,51287,52346,54680,54680,54680,54680,54680,70497,71980,71980,71980,71980,72549,72549,72549,72549,72938,72938,72938,72938,72938,73532,73532,73532,73532,73532
