date,activity
2021-11-13,119159
2021-11-14,119502
2021-11-15,126150
2021-11-16,127048
2021-11-17,146487
2021-11-18,147932
2021-11-19,148414
2021-11-20,148776
2021-11-21,151442
2021-11-22,151442
2021-11-23,156031
2021-11-24,156726
2021-11-25,157827
2021-11-26,160687
2021-11-27,161067
2021-11-28,161916
2021-11-29,168436
2021-11-30,171775
2021-12-01,177783
2021-12-02,178263
2021-12-03,178625
2021-12-04,178804
2021-12-05,179700
2021-12-06,179700
2021-12-07,180823
2021-12-08,180823
2021-12-09,183761
2021-12-10,184450
2021-12-11,186549
2021-12-12,188316
2021-12-13,197229
2021-12-14,198143
2021-12-15,198325
2021-12-16,200303
2021-12-17,200845
2021-12-18,202721
2021-12-19,203040
2021-12-20,203040
2021-12-21,203040
2021-12-22,204000
2021-12-23,204000
2021-12-24,204145
2021-12-25,204145
